Node,Distance_to_Midpoint
Node266,1.53375237765
Node285,1.52997263485
Node289,1.49073177225
Node298,1.48866537375
Node299,1.50718873155
Node309,1.27757934045
Node311,1.26664020975
Node330,1.56740619525
Node333,1.47796187435
Node367,1.41777214555
Node395,1.53259083835
Node399,1.52658986245
Node401,1.7109750119500002
Node404,1.41618679515
Node432,1.7568825946500002
Node441,1.7711038249500002
Node443,1.8171766412500001
Node452,1.8658336022500002
Node458,1.9204975095499999
Node467,2.01131032435
Node474,1.6170831813500002
Node504,1.67723861705
Node514,1.80970047175
Node528,1.89309021365
Node530,1.77168253365
Node533,1.77633292245
Node543,1.9122271013499998
Node553,1.77567396275
Node596,1.81880848235
Node600,1.8089364059500002
Node611,1.80235520835
Node634,2.0165006714500002
Node635,1.91192691045
Node638,2.02625528675
Node639,2.0035204709500003
Node647,1.93191159495
Node650,1.97680988935
Node673,1.72385328285
Node693,1.82415329175
Node694,1.81949708085
Node696,1.80197548305
Node699,1.84392282005
Node700,1.89335950165
Node708,1.85830166895
Node709,1.83403151725
Node712,1.85683214645
Node42,1.8658868318499997
Node58,1.9108774151499999
Node64,2.20433630095
Node65,2.1148687601500002
Node69,1.5338958485499998
Node78,1.49957305835
Node92,1.4756222966499999
Node110,1.39440586525
Node124,1.6449530236499998
Node144,1.7060450974499999
Node159,1.7157076167499998
Node164,1.6782875144499998
Node176,1.70261548195
Node239,2.03055947765
Node243,2.0261488045500005
Node255,1.6400389812500002
Node256,1.59459947385
Node267,1.58064484645
Node276,1.6388523534500001
Node286,1.57480767395
Node290,1.53709879155
Node300,1.6692636129500003
Node312,1.3618626439500001
Node331,1.7075583258500002
Node332,1.7518683446500003
Node334,1.6993059349500002
Node336,1.55666066375
Node368,1.45500155475
Node387,1.43897644215
Node396,1.60054373445
Node400,1.70245298505
Node405,1.4888855996500001
Node433,1.82717966785
Node434,1.80729149345
Node442,1.9446156539500001
Node444,1.9314318006500002
Node445,2.16594332525
Node453,1.8938171530499999
Node456,1.9173952109499999
Node459,1.9915235641500002
Node464,1.98757796475
Node475,1.63971863905
Node500,1.94575129005
Node505,1.6989123699500002
Node515,1.82798249435
Node531,1.8333136110500001
Node532,1.89841880335
Node534,1.80531604325
Node554,1.79992654695
Node597,1.8662937431500002
Node601,1.83373172475
Node612,1.83989565345
Node615,1.90921541595
Node636,1.97337156775
Node648,1.96995972745
Node649,2.01122888235
Node701,1.9408530129500001
Node713,1.9671052581500001
Node43,2.07968280415
Node56,1.9260838003499998
Node59,2.14303269155
Node125,1.76712807955
Node145,1.73732313615
Node158,1.8589235278499998
Node160,1.7913865352499998
Node165,1.7253293718499998
Node171,1.7783376102499997
Node177,1.7944081856499998
Node240,2.06978343955
Node257,1.65062191785
Node258,1.6238258905500003
Node268,1.6463221936499999
Node275,1.62501662085
Node287,1.6533466166500002
Node291,1.6464242423500002
Node313,1.44234864755
Node335,1.7625236313500001
Node337,1.6236474197500002
Node341,1.7604013899500002
Node369,1.49355331975
Node388,1.46995510495
Node397,1.7271967239500001
Node435,1.8474360792500002
Node454,2.03449468395
Node455,1.91639305105
Node457,2.13744500655
Node460,2.05207172885
Node462,2.0430125459500004
Node465,2.03998100725
Node476,1.6697780259500001
Node499,1.75684693745
Node501,1.98887416355
Node506,1.78499218315
Node516,1.89127661595
Node517,1.93818125245
Node535,1.87804480185
Node555,1.86158711975
Node598,1.9022096856500001
Node602,1.88313406015
Node607,1.86059809945
Node613,1.89394976285
Node614,1.88123626185
Node616,1.94670078685
Node619,2.0717205520500004
Node714,2.18630801175
Node44,2.12186267035
